#                           1                            2                            3                            4                            5 
#              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
#                        6794      1.3000000000000000E+001      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 
#
#                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11 
#                    model_number                         star_age                        star_mass                       delta_mass                        star_mdot                         log_Teff                            log_L                            log_R                            log_g                       center_he4                       surface_h1 
                               1          1.6411248409030469E+002          1.3000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          4.4610586744408511E+000          4.1228811433811323E+000          6.6258205926148994E-001          4.2266685871969818E+000          2.6594862803738722E-001          7.2007247607071456E-001 
                               2          3.4463621658963990E+002          1.2999999661756247E+001         -3.3824375300639531E-007         -1.8736802563051439E-009          4.4421456123591776E+000          4.0742773975848348E+000          6.7610631052668846E-001          4.1996200733667850E+000          2.6595030667312741E-001          7.2007247607071467E-001 
                               3          5.4321232233890862E+002          1.2999999418858939E+001         -5.8114106060713766E-007         -1.2231950359763415E-009          4.4430482582634330E+000          4.0788134229914945E+000          6.7656903142150915E-001          4.1986946234626075E+000          2.6595215100190411E-001          7.2007247607071523E-001 
                               4          7.6164603866310426E+002          1.2999999143126727E+001         -8.5687327278094472E-007         -1.2623152332541801E-009          4.4435430884306006E+000          4.0811509069867071E+000          6.7674811308477822E-001          4.1983364509246091E+000          2.6595421499484440E-001          7.2007247607071501E-001 
                               5          1.0019231266197194E+003          1.2999998834760584E+001         -1.1652394160677204E-006         -1.2833772362382205E-009          4.4439944117736356E+000          4.0830693422467599E+000          6.7680468402873373E-001          4.1982232987350274E+000          2.6595655911367444E-001          7.2007247607071501E-001 
                               6          1.2662279233719962E+003          1.2999998490728066E+001         -1.5092719340970007E-006         -1.3016506657033524E-009          4.4445130208878156E+000          4.0850584660180527E+000          6.7676202768602089E-001          4.1983085999272651E+000          2.6595924670191579E-001          7.2007247607071512E-001 
                               7          1.5569631997995007E+003          1.2999998106484780E+001         -1.8935152201748906E-006         -1.3216259546980319E-009          4.4451315556431421E+000          4.0872540490952289E+000          6.7662274971395675E-001          4.1985871430348736E+000          2.6596235783352340E-001          7.2007247607071490E-001 
                               8          1.8767720038697555E+003          1.2999997676448832E+001         -2.3235511683594723E-006         -1.3446657647835017E-009          4.4458649105909860E+000          4.0897030037855453E+000          6.7638051716342706E-001          4.1990715937696041E+000          2.6596599180286268E-001          7.2007247607071434E-001 
                               9          2.2285616883470361E+003          1.2999997194003774E+001         -2.8059962264848082E-006         -1.3714019518348374E-009          4.4467201721444347E+000          4.0924179076447942E+000          6.7602744598615427E-001          4.1997777200069750E+000          2.6597027597200279E-001          7.2007247607071445E-001 
                              10          2.6155303412720446E+003          1.2999996651400442E+001         -3.3485995576398864E-006         -1.4021893703023024E-009          4.4476999095221421E+000          4.0953936937639268E+000          6.7555586429030445E-001          4.2007208652717765E+000          2.6597535958963525E-001          7.2007247607071434E-001 
                              11          3.0411958594895541E+003          1.2999996039616200E+001         -3.9603838004609315E-006         -1.4372417259843569E-009          4.4487979624307998E+000          4.0985932194371957E+000          6.7495952130962411E-001          4.2019135307950908E+000          2.6598142864145252E-001          7.2007247607071423E-001 
                              12          3.5094279295288143E+003          1.2999995348300439E+001         -4.6516995606538103E-006         -1.4764382941709463E-009          4.4500103536710540E+000          4.1019956921034062E+000          6.7423597516222056E-001          4.2033605999949195E+000          2.6598870452069234E-001          7.2007247607071390E-001 
                              13          4.0244832065720007E+003          1.2999994565509496E+001         -5.4344905038306024E-006         -1.5198192891664970E-009          4.4513179291964997E+000          4.1055213796772962E+000          6.7338366789827442E-001          4.2050651883718952E+000          2.6599739416612495E-001          7.2007247607071334E-001 
                              14          4.5910440113195064E+003          1.2999993677864383E+001         -6.3221356167986187E-006         -1.5667252378597900E-009          4.4526951976492626E+000          4.1090641338174656E+000          6.7240050806283369E-001          4.2070314783889646E+000          2.6600777144223287E-001          7.2007247607071267E-001 
                              15          5.2142608965417612E+003          1.2999992670681257E+001         -7.3293187430323314E-006         -1.6161037209501502E-009          4.4541090466344473E+000          4.1124940256828824E+000          6.7128775602517199E-001          4.2092569488170346E+000          2.6602006329606054E-001          7.2007247607071190E-001 
                              16          5.8997994702862425E+003          1.2999991528271265E+001         -8.4717287354152404E-006         -1.6664415917271857E-009          4.4555192970080597E+000          4.1156508621423340E+000          6.7004567350767308E-001          4.2117410756872120E+000          2.6603445317152147E-001          7.2007247607071079E-001 
                              17          6.6538919014051708E+003          1.2999990234499897E+001         -9.7655001027874277E-006         -1.7156668247976259E-009          4.4568811068751959E+000          4.1183561777577813E+000          6.6867471158112579E-001          4.2144829563189097E+000          2.6605103704201372E-001          7.2007247607070946E-001 
                              18          7.4833935756359933E+003          1.2999988773543343E+001         -1.1226456656743267E-005         -1.7612460598773005E-009          4.4581448969087480E+000          4.1204147936610553E+000          6.6717643946565885E-001          4.2174794517432375E+000          2.6606962628694242E-001          7.2007247607070768E-001 
                              19          8.3958454172898983E+003          1.2999987130936740E+001         -1.2869063260367852E-005         -1.8002118302915586E-009          4.4592626477818547E+000          4.1216460113804558E+000          6.6555654657914565E-001          4.2207191826412140E+000          2.6609121826832288E-001          7.2007247607070524E-001 
                              20          9.3995424431091924E+003          1.2999985294564590E+001         -1.4705435409823053E-005         -1.8296080410169629E-009          4.4601875132087336E+000          4.1218875578018679E+000          6.6382758893609328E-001          4.2241770365790776E+000          2.6611450317537666E-001          7.2007247607070257E-001 
                              21          1.0503609171510418E+004          1.2999983255714865E+001         -1.6744285135317227E-005         -1.8466725533598316E-009          4.4608826706198199E+000          4.1210479103844806E+000          6.6201745040522664E-001          4.2277972455283299E+000          2.6614048515456301E-001          7.2007247607069891E-001 
                              22          1.1718082572751766E+004          1.2999981007174656E+001         -1.8992825344454900E-005         -1.8514528247441188E-009          4.4612375256328054E+000          4.1189932851274218E+000          6.6028042775072560E-001          4.2312712157196435E+000          2.6616813028738651E-001          7.2007247607069447E-001 
