#                           1                            2                            3                            4                            5 
#             version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
#                        6794      3.6000000000000000E+001      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 
#
#                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11 
#                    model_number                         star_age                        star_mass                       delta_mass                        star_mdot                         log_Teff                            log_L                            log_R                            log_g                       center_he4                       surface_h1 
                               1          1.2860082304526758E+001          3.6000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          4.6246769431796748E+000          5.2776659986288612E+000          9.1273794940770736E-001          4.1687159553649975E+000          2.6597049748290713E-001          7.2013290255353701E-001 
                               2          2.7006172839506192E+001          3.5999994198811343E+001         -5.8011886565623172E-006         -4.1009130011516460E-007          4.6081535603414041E+000          5.2395373537942369E+000          9.2672039266693640E-001          4.1407509988625275E+000          2.6597098164502125E-001          7.2013290255353724E-001 
                               3          4.2566872427983569E+001          3.5999989074433543E+001         -1.0925566456876368E-005         -3.2931538612919876E-007          4.6083017738667102E+000          5.2408928319390773E+000          9.2710170468874331E-001          4.1399883129997601E+000          2.6597147502122914E-001          7.2013290255353746E-001 
                               4          5.9683641975308689E+001          3.5999983420796234E+001         -1.6579203766298178E-005         -3.3029814937094209E-007          4.6084283158156119E+000          5.2418216620862292E+000          9.2731303586451808E-001          4.1395655824441988E+000          2.6597198710973324E-001          7.2013290255353724E-001 
                               5          7.8512088477366305E+001          3.5999977182904061E+001         -2.2817095938876264E-005         -3.3130147888480820E-007          4.6084804041933465E+000          5.2423228639367707E+000          9.2745946003431956E-001          4.1392726588522732E+000          2.6597253422379108E-001          7.2013290255353746E-001 
                               6          9.9223379629629719E+001          3.5999970309125985E+001         -2.9690874015386726E-005         -3.3188554171088951E-007          4.6085096397137564E+000          5.2426476320456450E+000          9.2756337304793623E-001          4.1390647499015376E+000          2.6597313822949503E-001          7.2013290255353746E-001 
                               7          1.2200579989711945E+002          3.5999962738029232E+001         -3.7261970767588082E-005         -3.3232188087681636E-007          4.6085344503928578E+000          5.2429033038137751E+000          9.2764158757379800E-001          4.1389082295140200E+000          2.6597380245766705E-001          7.2013290255353746E-001 
                               8          1.4706646219135814E+002          3.5999954400016193E+001         -4.5599983806710043E-005         -3.3271319578593838E-007          4.6085671839295603E+000          5.2431431444546543E+000          9.2769604082083146E-001          4.1387992224322527E+000          2.6597453842603375E-001          7.2013290255353735E-001 
                               9          1.7463319071502076E+002          3.5999945216946195E+001         -5.4783053805351756E-005         -3.3312150141889522E-007          4.6086127446560665E+000          5.2433923562431435E+000          9.2772952526206554E-001          4.1387321427675010E+000          2.6597533659147843E-001          7.2013290255353735E-001 
                              10          2.0495659209104960E+002          3.5999935101964240E+001         -6.4898035759597406E-005         -3.3357016351461010E-007          4.6086767510220978E+000          5.2436658928205953E+000          9.2773828081872800E-001          4.1387145096295059E+000          2.6597621980493275E-001          7.2013290255353701E-001 
                              11          2.3831233360468136E+002          3.5999923958482213E+001         -7.6041517786507029E-005         -3.3407987709849703E-007          4.6087627759679846E+000          5.2439716081544248E+000          9.2771908859386909E-001          4.1387527596469393E+000          2.6597720312677586E-001          7.2013290255353712E-001 
                              12          2.7500364926967626E+002          3.5999911679389101E+001         -8.8320610899472740E-005         -3.3465938444714864E-007          4.6088757852415121E+000          5.2443146213212692E+000          9.2766457663023683E-001          4.1388616354421330E+000          2.6597829700755538E-001          7.2013290255353701E-001 
                              13          3.1536409650117071E+002          3.5999898145622474E+001         -1.0185437752596727E-004         -3.3532251377205298E-007          4.6090180982740030E+000          5.2446968616078440E+000          9.2757107070854294E-001          4.1390484840173070E+000          2.6597951918430751E-001          7.2013290255353735E-001 
                              14          3.5976058845581451E+002          3.5999883225398641E+001         -1.1677460135928186E-004         -3.3606763008852383E-007          4.6091959618973721E+000          5.2451213954599742E+000          9.2742761038786936E-001          4.1393352246644719E+000          2.6598087736660564E-001          7.2013290255353690E-001 
                              15          4.0859672960592280E+002          3.5999866772217210E+001         -1.3322778278990199E-004         -3.3690584547764752E-007          4.6094125576478095E+000          5.2455904030116027E+000          9.2722892266280743E-001          4.1397324016270760E+000          2.6598239800336554E-001          7.2013290255353735E-001 
                              16          4.6231648487104184E+002          3.5999848623468992E+001         -1.5137653100794068E-004         -3.3784123039326604E-007          4.6096739516562435E+000          5.2461062850985840E+000          9.2696407568943140E-001          4.1402618766312624E+000          2.6598410662392119E-001          7.2013290255353746E-001 
                              17          5.2140821566267277E+002          3.5999828598320043E+001         -1.7140167995677302E-004         -3.3888242364196773E-007          4.6099855503759413E+000          5.2466730472429974E+000          9.2662425932224124E-001          4.1409412677864577E+000          2.6598603550624922E-001          7.2013290255353735E-001 
                              18          5.8640911953346688E+002          3.5999806495554324E+001         -1.9350444567578506E-004         -3.4003782108043637E-007          4.6103535116511205E+000          5.2472953541671492E+000          9.2619949023395953E-001          4.1417905393197474E+000          2.6598821998123146E-001          7.2013290255353712E-001 
                              19          6.5791011379134034E+002          3.5999782090939156E+001         -2.1790906084362405E-004         -3.4131854280469395E-007          4.6107842580307912E+000          5.2479782003174993E+000          9.2567942054979435E-001          4.1428303842755705E+000          2.6599070934870578E-001          7.2013290255353712E-001 
                              20          7.3656120747500120E+002          3.5999755134256887E+001         -2.4486574311310960E-004         -3.4273753876073583E-007          4.6112833107119862E+000          5.2487272026687712E+000          9.2505581636304068E-001          4.1440772674486999E+000          2.6599355953777010E-001          7.2013290255353712E-001 
                              21          8.2307741052702818E+002          3.5999725346305667E+001         -2.7465369433343767E-004         -3.4430488364481893E-007          4.6118555454232695E+000          5.2495467844936989E+000          9.2432113785293724E-001          4.1455462651123458E+000          2.6599684400149365E-001          7.2013290255353735E-001 
                              22          9.1824523388425791E+002          3.5999692397449195E+001         -3.0760255080508614E-004         -3.4621845182609099E-007          4.6124502857097118E+000          5.2503349085766731E+000          9.2352571932153804E-001          4.1471367046856367E+000          2.6600063905089411E-001          7.2013290255353679E-001 
                              23          1.0229298395772105E+003          3.5999655952329363E+001         -3.4404767063733743E-004         -3.4814211306208480E-007          4.6131208835066024E+000          5.2512032143866669E+000          9.2261867663275343E-001          4.1489503503949372E+000          2.6600505772029615E-001          7.2013290255353701E-001 
                              24          1.1380829058394584E+003          3.5999615614884910E+001         -3.8438511509042428E-004         -3.5029414115148780E-007          4.6138649939006404E+000          5.2521366817993744E+000          9.2159718955103287E-001          4.1509928379331900E+000          2.6601021900767008E-001          7.2013290255353679E-001 
                              25          1.2647512787279309E+003          3.5999570946383422E+001         -4.2905361657830099E-004         -3.5264131424715851E-007          4.6146806640540774E+000          5.2531199255404424E+000          9.2045747111469278E-001          4.1532717359307902E+000          2.6601628564232149E-001          7.2013290255353657E-001 
                              26          1.4040864889052509E+003          3.5999521460389872E+001         -4.7853961012833679E-004         -3.5515784911107232E-007          4.6155603275084918E+000          5.2541284180040133E+000          9.1920239043764995E-001          4.1557813002914079E+000          2.6602343505812365E-001          7.2013290255353657E-001 
                              27          1.5573552201003029E+003          3.5999466622830319E+001         -5.3337716968115956E-004         -3.5778700012151281E-007          4.6164896647113940E+000          5.2551245380324216E+000          9.1784177604604844E-001          4.1585018675194929E+000          2.6603185809617080E-001          7.2013290255353635E-001 
                              28          1.7259508244148599E+003          3.5999405852711256E+001         -5.9414728874429557E-004         -3.6044901236814994E-007          4.6174495884078555E+000          5.2560599036009688E+000          9.1638961143740016E-001          4.1614054636106594E+000          2.6604178178232279E-001          7.2013290255353635E-001 
                              29          1.9114059891608729E+003          3.5999338526077814E+001         -6.6147392218596224E-004         -3.6303455627794142E-007          4.6184178573570707E+000          5.2568727998981428E+000          9.1485952168755691E-001          4.1644648308854766E+000          2.6605342666743059E-001          7.2013290255353590E-001 
                              30          2.1154066703814869E+003          3.5999263984502107E+001         -7.3601549789259479E-004         -3.6539866068260875E-007          4.6193670667108782E+000          5.2574976460629133E+000          9.1327352606232604E-001          4.1676359228686222E+000          2.6606702703309959E-001          7.2013290255353513E-001 
                              31          2.3398074197241631E+003          3.5999181541274218E+001         -8.1845872578156786E-004         -3.6739283685556837E-007          4.6202666229318607E+000          5.2578601679247345E+000          9.1165567455127194E-001          4.1708706312959531E+000          2.6608262520647935E-001          7.2013290255353513E-001 
                              32          2.5866482440011064E+003          3.5999090496610144E+001         -9.0950338985607004E-004         -3.6883957239095970E-007          4.6210916035028760E+000          5.2578969350041724E+000          9.1002409694896103E-001          4.1741326881354590E+000          2.6610039279983605E-001          7.2013290255353413E-001 
                              33          2.8581731507057439E+003          3.5998990146457686E+001         -1.0098535423139765E-003         -3.6957991691083154E-007          4.6218205125562299E+000          5.2575593912998801E+000          9.0839750699010635E-001          4.1773846574231888E+000          2.6612095563764765E-001          7.2013290255353335E-001 
                              34          3.1568505480808449E+003          3.5998879783925055E+001         -1.1202160749448353E-003         -3.6950413256257067E-007          4.6224305698568307E+000          5.2568157850430701E+000          9.0680558926050114E-001          4.1805671614585949E+000          2.6614356570216213E-001          7.2013290255353268E-001 
                              35          3.4853956851934568E+003          3.5998758706206097E+001         -1.2412937939032531E-003         -3.6852689410755507E-007          4.6229209658109891E+000          5.2556891726691877E+000          9.0526149116524135E-001          4.1836538969516157E+000          2.6616933095488127E-001          7.2013290255353113E-001 
                              36          3.8467953360173292E+003          3.5998626180240109E+001         -1.3738197598911484E-003         -3.6670197576185895E-007          4.6232828730549427E+000          5.2542136849683567E+000          9.0379993282691884E-001          4.1865754148119754E+000          2.6619765113366706E-001          7.2013290255352935E-001 
                              37          4.2443349519235899E+003          3.5998481436106104E+001         -1.5185638938959301E-003         -3.6409989900984188E-007          4.6235295233626204E+000          5.2524877054020109E+000          9.0244364242839048E-001          4.1892862493839189E+000          2.6622936905272965E-001          7.2013290255352724E-001 
                              38          4.6816285294204754E+003          3.5998323601998401E+001         -1.6763980015994662E-003         -3.6093397165733912E-007          4.6236808698202010E+000          5.2506395213083445E+000          9.0121685746639557E-001          4.1917379151544676E+000          2.6626478727990666E-001          7.2013290255352447E-001 
                              39          5.1626514646670512E+003          3.5998151648813113E+001         -1.8483511868865321E-003         -3.5747398447767707E-007          4.6237428234193274E+000          5.2487870955452083E+000          9.0016673738657593E-001          4.1938360808147861E+000          2.6630326832131684E-001          7.2013290255352125E-001 
                              40          5.6917766934382835E+003          3.5997964362277052E+001         -2.0356377229475697E-003         -3.5395502969309212E-007          4.6237593403209649E+000          5.2470838788659595E+000          8.9928209524367553E-001          4.1956031056034453E+000          2.6634708541781810E-001          7.2013290255351703E-001 
                              41          6.2738144450866394E+003          3.5997760228381104E+001         -2.2397716188962136E-003         -3.5072277592223641E-007          4.6237209439399898E+000          5.2455780550924125E+000          8.9860597611885196E-001          4.1969528810895032E+000          2.6639360600461243E-001          7.2013290255351092E-001 
                              42          6.9140559718998302E+003          3.5997537547163112E+001         -2.4624528368875076E-003         -3.4780814530774172E-007          4.6236792718238044E+000          5.2443721358418083E+000          8.9808636072592174E-001          4.1979894253325698E+000          2.6644631700502325E-001          7.2013290255350360E-001 
                              43          7.6183216513943407E+003          3.5997294263309051E+001         -2.7057366909488678E-003         -3.4544329099872281E-007          4.6236216934446510E+000          5.2434548904406926E+000          8.9774289478367097E-001          4.1986734220942941E+000          2.6650418079565785E-001          7.2013290255349427E-001 
                              44          8.3930138988383023E+003          3.5997028065149877E+001         -2.9719348501231480E-003         -3.4361794642944228E-007          4.6235668113437089E+000          5.2428039462208211E+000          8.9752718687561983E-001          4.1991016263129293E+000          2.6656783437949216E-001          7.2013290255348150E-001 
                              45          9.2451753710266621E+003          3.5996736389955636E+001         -3.2636100443639293E-003         -3.4227690849326214E-007          4.6235203110988303E+000          5.2423767915001456E+000          8.9740661000503918E-001          4.1993392610569016E+000          2.6663781563595496E-001          7.2013290255346507E-001 
                              46          1.0182552990433856E+004          3.5996416410518073E+001         -3.5835894819271630E-003         -3.4135596043564010E-007          4.6234628962546660E+000          5.2421216027903403E+000          8.9739384533846411E-001          4.1993609298755814E+000          2.6671492322816021E-001          7.2013290255344331E-001 
                              47          1.1213668371781769E+004          3.5996065050411232E+001         -3.9349495887677222E-003         -3.4075731310378021E-007          4.6234071030304413E+000          5.2419875873727682E+000          8.9743842407812791E-001          4.1992675332381513E+000          2.6679975349348606E-001          7.2013290255341533E-001 
                              48          1.2347895291264473E+004          3.5995678977168005E+001         -4.3210228319949806E-003         -3.4038448266772797E-007          4.6233544073675379E+000          5.2419329802055135E+000          8.9751651182030734E-001          4.1991066997341431E+000          2.6689297620308322E-001          7.2013290255337814E-001 
                              49          1.3595544902695447E+004          3.5995254568780631E+001         -4.7454312193693227E-003         -3.4016632834034215E-007          4.6232971441584443E+000          5.2419271649779446E+000          8.9762813062470936E-001          4.1988783415299631E+000          2.6699536496515897E-001          7.2013290255332918E-001 
                              50          1.4967959475269519E+004          3.5994787903907252E+001         -5.2120960927481974E-003         -3.4003200104363121E-007          4.6232397547788704E+000          5.2419506236819053E+000          8.9775463873583849E-001          4.1986196948073617E+000          2.6710778832677512E-001          7.2013290255326401E-001 
                              51          1.6477615505100999E+004          3.5994274686795201E+001         -5.7253132047989652E-003         -3.3995632244276882E-007          4.6231689741780277E+000          5.2419924648058194E+000          8.9791712049948114E-001          4.1982885390238707E+000          2.6723120127915667E-001          7.2013290255317775E-001 
                              52          1.8138237137915628E+004          3.5993710218211838E+001         -6.2897817881619744E-003         -3.3991402509039188E-007          4.6230953063229441E+000          5.2420462181501017E+000          8.9809133288178988E-001          4.1979333035229534E+000          2.6736664975052171E-001          7.2013290255306261E-001 
                              53          1.9964920934011720E+004          3.5993089345542757E+001         -6.9106544572434814E-003         -3.3989060964419444E-007          4.6230140615620696E+000          5.2421091352428695E+000          8.9828528094992233E-001          4.1975379159694901E+000          2.6751528621626242E-001          7.2013290255291007E-001 
                              54          2.1974273109717418E+004          3.5992406398301078E+001         -7.5936016989217592E-003         -3.3988429203410472E-007          4.6229257775279446E+000          5.2421800542979096E+000          8.9849730854569254E-001          4.1971056202229482E+000          2.6767836069855200E-001          7.2013290255270590E-001 
                              55          2.4184560502993692E+004          3.5991655155655558E+001         -8.3448443444424925E-003         -3.3988459953597101E-007          4.6228375717844470E+000          5.2422589826806991E+000          8.9871318422408208E-001          4.1966648040668648E+000          2.6785724182060577E-001          7.2013290255243356E-001 
                              56          2.6615876635597589E+004          3.5990828766258794E+001         -9.1712337412062084E-003         -3.3989384830724944E-007          4.6227385754847257E+000          5.2423460620020794E+000          8.9895471648421477E-001          4.1961717677774866E+000          2.6805344424161620E-001          7.2013290255206963E-001 
                              57          2.9290324381461880E+004          3.5989919675176004E+001         -1.0080324823995568E-002         -3.3991730973146940E-007          4.6226190865782186E+000          5.2424429030177109E+000          8.9924211480504268E-001          4.1955860011681834E+000          2.6826864862995159E-001          7.2013290255158235E-001 
